Radius,Qs
0,NaN
0.001,3.55E-15
0.002,2.27E-13
0.003,2.59E-12
0.004,1.45E-11
0.005,5.54E-11
0.006,1.66E-10
0.007,4.17E-10
0.008,9.30E-10
0.009,1.89E-09
0.01,3.55E-09
0.011,6.28E-09
0.012,1.06E-08
0.013,1.71E-08
0.014,2.67E-08
0.015,4.04E-08
0.016,5.95E-08
0.017,8.56E-08
0.018,1.21E-07
0.019,1.67E-07
0.02,2.27E-07
0.021,3.04E-07
0.022,4.02E-07
0.023,5.25E-07
0.024,6.78E-07
0.025,8.66E-07
0.026,1.10E-06
0.027,1.37E-06
0.028,1.71E-06
0.029,2.11E-06
0.03,2.58E-06
0.031,3.15E-06
0.032,3.81E-06
0.033,4.58E-06
0.034,5.48E-06
0.035,6.51E-06
0.036,7.71E-06
0.037,9.09E-06
0.038,1.07E-05
0.039,1.25E-05
0.04,1.45E-05
0.041,1.68E-05
0.042,1.94E-05
0.043,2.24E-05
0.044,2.57E-05
0.045,2.94E-05
0.046,3.35E-05
0.047,3.81E-05
0.048,4.32E-05
0.049,4.89E-05
0.05,5.52E-05
0.051,6.21E-05
0.052,6.98E-05
0.053,7.82E-05
0.054,8.74E-05
0.055,9.75E-05
0.056,0.000108626
0.057,0.000120732
0.058,0.000133934
0.059,0.000148311
0.06,0.000163943
0.061,0.000180914
0.062,0.000199314
0.063,0.000219234
0.064,0.000240771
0.065,0.000264026
0.066,0.000289104
0.067,0.000316116
0.068,0.000345174
0.069,0.000376397
0.07,0.000409908
0.071,0.000445834
0.072,0.000484308
0.073,0.000525467
0.074,0.000569451
0.075,0.000616406
0.076,0.000666485
0.077,0.000719841
0.078,0.000776636
0.079,0.000837033
0.08,0.000901204
0.081,0.000969321
0.082,0.001041564
0.083,0.001118115
0.084,0.001199163
0.085,0.001284899
0.086,0.00137552
0.087,0.001471226
0.088,0.001572221
0.089,0.001678714
0.09,0.001790917
0.091,0.001909045
0.092,0.002033318
0.093,0.002163958
0.094,0.00230119
0.095,0.002445242
0.096,0.002596345
0.097,0.002754733
0.098,0.00292064
0.099,0.003094305
0.1,0.003275965
0.101,0.003465862
0.102,0.003664236
0.103,0.00387133
0.104,0.004087388
0.105,0.004312651
0.106,0.004547364
0.107,0.004791769
0.108,0.005046109
0.109,0.005310625
0.11,0.005585557
0.111,0.005871145
0.112,0.006167627
0.113,0.006475237
0.114,0.006794211
0.115,0.007124778
0.116,0.007467168
0.117,0.007821608
0.118,0.008188321
0.119,0.008567528
0.12,0.008959447
0.121,0.009364293
0.122,0.009782278
0.123,0.010213611
0.124,0.010658498
0.125,0.011117144
0.126,0.011589749
0.127,0.012076512
0.128,0.01257763
0.129,0.013093297
0.13,0.013623708
0.131,0.014169055
0.132,0.01472953
0.133,0.015305326
0.134,0.015896636
0.135,0.016503654
0.136,0.017126578
0.137,0.017765606
0.138,0.018420942
0.139,0.019092794
0.14,0.019781377
0.141,0.020486909
0.142,0.02120962
0.143,0.021949747
0.144,0.022707536
0.145,0.023483247
0.146,0.024277151
0.147,0.025089533
0.148,0.025920693
0.149,0.026770948
0.15,0.027640635
0.151,0.028530106
0.152,0.029439739
0.153,0.030369932
0.154,0.031321105
0.155,0.032293706
0.156,0.033288208
0.157,0.034305113
0.158,0.035344952
0.159,0.036408284
0.16,0.037495703
0.161,0.038607834
0.162,0.039745335
0.163,0.040908898
0.164,0.042099254
0.165,0.043317164
0.166,0.044563429
0.167,0.045838885
0.168,0.047144404
0.169,0.048480895
0.17,0.049849302
0.171,0.051250604
0.172,0.052685814
0.173,0.054155978
0.174,0.055662172
0.175,0.057205503
0.176,0.058787104
0.177,0.060408131
0.178,0.062069765
0.179,0.063773202
0.18,0.065519653
0.181,0.067310339
0.182,0.069146488
0.183,0.071029327
0.184,0.072960079
0.185,0.074939956
0.186,0.076970156
0.187,0.07905185
0.188,0.081186183
0.189,0.083374261
0.19,0.085617147
0.191,0.087915852
0.192,0.090271328
0.193,0.092684459
0.194,0.095156056
0.195,0.097686846
0.196,0.100277467
0.197,0.102928457
0.198,0.105640252
0.199,0.108413175
0.2,0.111247431
0.201,0.114143103
0.202,0.117100144
0.203,0.120118374
0.204,0.123197477
0.205,0.126337001
0.206,0.12953635
0.207,0.132794789
0.208,0.136111445
0.209,0.139485306
0.21,0.142915224
0.211,0.146399925
0.212,0.149938007
0.213,0.153527953
0.214,0.157168136
0.215,0.160856829
0.216,0.164592216
0.217,0.168372404
0.218,0.172195431
0.219,0.176059286
0.22,0.179961918
0.221,0.183901249
0.222,0.187875193
0.223,0.191881669
0.224,0.195918615
0.225,0.199984009
0.226,0.204075863
0.227,0.208192269
0.228,0.212331391
0.229,0.216491484
0.23,0.220670906
0.231,0.224868132
0.232,0.229081763
0.233,0.233310536
0.234,0.237553334
0.235,0.241809193
0.236,0.24607731
0.237,0.250357048
0.238,0.254647939
0.239,0.258949693
0.24,0.263262194
0.241,0.267585508
0.242,0.271919879
0.243,0.276265732
0.244,0.280623669
0.245,0.284994473
0.246,0.2893791
0.247,0.293778679
0.248,0.298194508
0.249,0.302628051
0.25,0.307080932
0.251,0.311554932
0.252,0.316051984
0.253,0.320574166
0.254,0.325123698
0.255,0.329702935
0.256,0.33431436
0.257,0.338960581
0.258,0.343644322
0.259,0.348368417
0.26,0.353135804
0.261,0.357949519
0.262,0.362812687
0.263,0.367728515
0.264,0.372700284
0.265,0.377731344
0.266,0.3828251
0.267,0.387985008
0.268,0.393214561
0.269,0.398517284
0.27,0.403896718
0.271,0.409356412
0.272,0.41489991
0.273,0.420530737
0.274,0.426252387
0.275,0.432068307
0.276,0.43798188
0.277,0.443996412
0.278,0.450115115
0.279,0.456341083
0.28,0.46267728
0.281,0.469126518
0.282,0.475691434
0.283,0.482374473
0.284,0.489177864
0.285,0.496103603
0.286,0.503153423
0.287,0.510328783
0.288,0.517630838
0.289,0.525060424
0.29,0.532618037
0.291,0.540303813
0.292,0.548117514
0.293,0.556058512
0.294,0.564125774
0.295,0.572317854
0.296,0.580632886
0.297,0.589068576
0.298,0.597622204
0.299,0.606290626
0.3,0.615070278
0.301,0.623957188
0.302,0.632946988
0.303,0.642034934
0.304,0.651215929
0.305,0.660484545
0.306,0.669835057
0.307,0.679261474
0.308,0.688757575
0.309,0.698316951
0.31,0.707933047
0.311,0.717599201
0.312,0.727308696
0.313,0.737054803
0.314,0.746830828
0.315,0.756630158
0.316,0.766446311
0.317,0.776272975
0.318,0.786104055
0.319,0.795933714
0.32,0.805756408
0.321,0.815566926
0.322,0.825360415
0.323,0.835132415
0.324,0.844878881
0.325,0.854596244
0.326,0.864281268
0.327,0.873931301
0.328,0.883544127
0.329,0.89311801
0.33,0.902651699
0.331,0.912144427
0.332,0.921595903
0.333,0.931006311
0.334,0.940376298
0.335,0.949706966
0.336,0.958999857
0.337,0.968256941
0.338,0.977480599
0.339,0.986673609
0.34,0.995839131
0.341,1.004980686
0.342,1.014102141
0.343,1.023207692
0.344,1.032301848
0.345,1.041389412
0.346,1.050475463
0.347,1.059565344
0.348,1.068664642
0.349,1.077779174
0.35,1.08691497
0.351,1.096078259
0.352,1.10527545
0.353,1.114513124
0.354,1.123798008
0.355,1.133136967
0.356,1.142536985
0.357,1.152005145
0.358,1.161548617
0.359,1.171174632
0.36,1.180890467
0.361,1.190703421
0.362,1.200620792
0.363,1.210649853
0.364,1.220797823
0.365,1.231071841
0.366,1.241478932
0.367,1.252025978
0.368,1.262719676
0.369,1.273566505
0.37,1.284572685
0.371,1.295744132
0.372,1.307086415
0.373,1.318604708
0.374,1.330303743
0.375,1.342187758
0.376,1.354260446
0.377,1.366524905
0.378,1.378983584
0.379,1.391638233
0.38,1.404489853
0.381,1.417538647
0.382,1.430783976
0.383,1.444224318
0.384,1.457857232
0.385,1.471679324
0.386,1.485686229
0.387,1.49987259
0.388,1.514232052
0.389,1.528757265
0.39,1.543439893
0.391,1.558270641
0.392,1.573239286
0.393,1.588334723
0.394,1.603545022
0.395,1.618857498
0.396,1.634258787
0.397,1.649734939
0.398,1.665271514
0.399,1.680853692
0.4,1.696466384
0.401,1.712094351
0.402,1.727722332
0.403,1.743335161
0.404,1.758917899
0.405,1.774455951
0.406,1.789935189
0.407,1.805342063
0.408,1.820663711
0.409,1.835888053
0.41,1.851003881
0.411,1.866000936
0.412,1.880869974
0.413,1.89560282
0.414,1.910192407
0.415,1.924632809
0.416,1.938919253
0.417,1.953048127
0.418,1.967016974
0.419,1.980824473
0.42,1.99447042
0.421,2.007955689
0.422,2.021282192
0.423,2.034452837
0.424,2.047471627
0.425,2.060343004
0.426,2.073072682
0.427,2.085667002
0.428,2.098133021
0.429,2.110478452
0.43,2.122711605
0.431,2.134841333
0.432,2.146876976
0.433,2.158828312
0.434,2.170705509
0.435,2.182519077
0.436,2.194279829
0.437,2.205998839
0.438,2.21768741
0.439,2.229357039
0.44,2.241019386
0.441,2.252686251
0.442,2.264369544
0.443,2.276081266
0.444,2.287833485
0.445,2.299638317
0.446,2.311507904
0.447,2.323454399
0.448,2.335489941
0.449,2.347626638
0.45,2.359876544
0.451,2.372251634
0.452,2.38476378
0.453,2.39742472
0.454,2.410246025
0.455,2.423239066
0.456,2.436414967
0.457,2.449784565
0.458,2.463358352
0.459,2.477146426
0.46,2.49115842
0.461,2.505403437
0.462,2.519889974
0.463,2.534625841
0.464,2.54961807
0.465,2.564872827
0.466,2.580395313
0.467,2.596189657
0.468,2.61225882
0.469,2.628604479
0.47,2.645226928
0.471,2.662124969
0.472,2.679295812
0.473,2.696734979
0.474,2.714436218
0.475,2.732391429
0.476,2.750590601
0.477,2.769021768
0.478,2.787670985
0.479,2.806522324
0.48,2.825557898
0.481,2.844757908
0.482,2.864100719
0.483,2.883562968
0.484,2.9031197
0.485,2.922744529
0.486,2.942409836
0.487,2.962086983
0.488,2.981746559
0.489,3.001358642
0.49,3.020893076
0.491,3.040319762
0.492,3.059608951
0.493,3.078731539
0.494,3.097659359
0.495,3.116365458
0.496,3.134824361
0.497,3.153012307
0.498,3.170907472
0.499,3.188490152
0.5,3.205742915
0.501,3.222650729
0.502,3.239201044
0.503,3.255383844
0.504,3.271191667
0.505,3.286619594
0.506,3.3016652
0.507,3.316328489
0.508,3.330611796
0.509,3.344519677
0.51,3.358058775
0.511,3.371237678
0.512,3.384066767
0.513,3.39655806
0.514,3.408725049
0.515,3.420582541
0.516,3.432146505
0.517,3.443433918
0.518,3.454462621
0.519,3.46525119
0.52,3.475818802
0.521,3.486185486
0.522,3.496370605
0.523,3.506394849
0.524,3.516278785
0.525,3.526043119
0.526,3.535708641
0.527,3.54529617
0.528,3.55482651
0.529,3.564320422
0.53,3.573798587
0.531,3.583281593
0.532,3.592789914
0.533,3.602343897
0.534,3.611963756
0.535,3.621669561
0.536,3.631481235
0.537,3.641418543
0.538,3.651501088
0.539,3.661748299
0.54,3.672179416
0.541,3.682813474
0.542,3.693669277
0.543,3.704765368
0.544,3.716119991
0.545,3.727751043
0.546,3.739676013
0.547,3.751911919
0.548,3.76447522
0.549,3.777381726
0.55,3.790646489
0.551,3.804283677
0.552,3.818306439
0.553,3.832726749
0.554,3.84755524
0.555,3.862801016
0.556,3.87847146
0.557,3.894572021
0.558,3.911105996
0.559,3.9280743
0.56,3.945475238
0.561,3.963304272
0.562,3.981553793
0.563,4.00021291
0.564,4.019267247
0.565,4.038698773
0.566,4.058485654
0.567,4.078602156
0.568,4.099018584
0.569,4.119701282
0.57,4.140612692
0.571,4.161711483
0.572,4.182952747
0.573,4.204288271
0.574,4.225666891
0.575,4.247034909
0.576,4.268336585
0.577,4.289514697
0.578,4.31051114
0.579,4.331267586
0.58,4.351726154
0.581,4.371830104
0.582,4.391524527
0.583,4.410757009
0.584,4.42947826
0.585,4.447642697
0.586,4.465208957
0.587,4.482140326
0.588,4.498405098
0.589,4.513976829
0.59,4.5288345
0.591,4.542962591
0.592,4.556351059
0.593,4.568995232
0.594,4.580895632
0.595,4.592057722
0.596,4.602491605
0.597,4.612211678
0.598,4.621236248
0.599,4.629587131
0.6,4.637289241
0.601,4.644370179
0.602,4.650859826
0.603,4.656789955
0.604,4.662193863
0.605,4.66710603
0.606,4.671561809
0.607,4.675597139
0.608,4.679248305
0.609,4.682551716
0.61,4.685543727
0.611,4.688260483
0.612,4.690737799
0.613,4.693011063
0.614,4.695115166
0.615,4.697085035
0.616,4.698953316
0.617,4.700753745
0.618,4.702518931
0.619,4.704280919
0.62,4.706071216
0.621,4.707920827
0.622,4.709860295
0.623,4.711919745
0.624,4.714128927
0.625,4.71651727
0.626,4.719113915
0.627,4.721947766
0.628,4.725047519
0.629,4.728441692
0.63,4.732158644
0.631,4.736226585
0.632,4.74067357
0.633,4.745527482
0.634,4.750815992
0.635,4.756566512
0.636,4.762806111
0.637,4.769561421
0.638,4.776858507
0.639,4.784722715
0.64,4.793178487
0.641,4.80224914
0.642,4.811956617
0.643,4.822321191
0.644,4.833361147
0.645,4.84509241
0.646,4.857528148
0.647,4.870678339
0.648,4.8845493
0.649,4.899143197
0.65,4.91445754
0.651,4.930484654
0.652,4.947211171
0.653,4.964617522
0.654,4.982677472
0.655,5.001357706
0.656,5.020617472
0.657,5.040408338
0.658,5.060674044
0.659,5.081350499
0.66,5.10236593
0.661,5.123641202
0.662,5.145090317
0.663,5.166621113
0.664,5.188136137
0.665,5.209533715
0.666,5.230709171
0.667,5.251556201
0.668,5.271968337
0.669,5.291840497
0.67,5.311070541
0.671,5.329560813
0.672,5.347219602
0.673,5.363962495
0.674,5.379713548
0.675,5.394406285
0.676,5.407984451
0.677,5.420402539
0.678,5.431626067
0.679,5.441631608
0.68,5.450406599
0.681,5.457948934
0.682,5.464266384
0.683,5.469375865
0.684,5.473302597
0.685,5.476079182
0.686,5.47774464
0.687,5.478343437
0.688,5.477924521
0.689,5.476540406
0.69,5.474246304
0.691,5.471099341
0.692,5.467157844
0.693,5.462480721
0.694,5.45712693
0.695,5.451155029
0.696,5.444622826
0.697,5.437587086
0.698,5.430103333
0.699,5.422225702
0.7,5.414006854
0.701,5.405497943
0.702,5.39674862
0.703,5.387807081
0.704,5.378720131
0.705,5.369533284
0.706,5.360290873
0.707,5.351036925
0.708,5.341812321
0.709,5.332659339
0.71,5.323618893
0.711,5.314731386
0.712,5.306036846
0.713,5.297575059
0.714,5.28938569
0.715,5.281508398
0.716,5.273982945
0.717,5.266849283
0.718,5.260147642
0.719,5.253918587
0.72,5.248203073
0.721,5.243042469
0.722,5.238478565
0.723,5.234553553
0.724,5.231309977
0.725,5.228790653
0.726,5.227038551
0.727,5.226096633
0.728,5.226007642
0.729,5.226813844
0.73,5.228556703
0.731,5.231276494
0.732,5.235011844
0.733,5.239799197
0.734,5.245672195
0.735,5.252660972
0.736,5.26079137
0.737,5.27008406
0.738,5.280553588
0.739,5.29220735
0.74,5.305044506
0.741,5.319054865
0.742,5.334217747
0.743,5.350500883
0.744,5.367859374
0.745,5.38623476
0.746,5.405554266
0.747,5.425730264
0.748,5.446660031
0.749,5.468225845
0.75,5.490295478
0.751,5.512723131
0.752,5.535350829
0.753,5.558010291
0.754,5.580525253
0.755,5.602714193
0.756,5.624393406
0.757,5.645380312
0.758,5.66549689
0.759,5.684573104
0.76,5.702450186
0.761,5.718983627
0.762,5.734045763
0.763,5.747527857
0.764,5.759341585
0.765,5.769419899
0.766,5.777717265
0.767,5.784209277
0.768,5.788891736
0.769,5.791779252
0.77,5.792903468
0.771,5.792311018
0.772,5.790061319
0.773,5.786224299
0.774,5.780878146
0.775,5.774107163
0.776,5.765999776
0.777,5.756646754
0.778,5.746139645
0.779,5.734569467
0.78,5.722025636
0.781,5.708595134
0.782,5.694361883
0.783,5.679406337
0.784,5.663805225
0.785,5.647631461
0.786,5.630954166
0.787,5.613838797
0.788,5.596347345
0.789,5.578538601
0.79,5.560468456
0.791,5.542190229
0.792,5.523755007
0.793,5.505211997
0.794,5.486608859
0.795,5.46799205
0.796,5.449407137
0.797,5.430899102
0.798,5.412513493
0.799,5.394293278
0.8,5.376284147
0.801,5.358531414
0.802,5.341081048
0.803,5.323979866
0.804,5.307275707
0.805,5.291017595
0.806,5.275255876
0.807,5.260042344
0.808,5.245430349
0.809,5.231474883
0.81,5.218232643
0.811,5.205762071
0.812,5.194123369
0.813,5.183378466
0.814,5.173590961
0.815,5.164826002
0.816,5.157150114
0.817,5.150630959
0.818,5.145337009
0.819,5.141337125
0.82,5.138700027
0.821,5.137493638
0.822,5.13778428
0.823,5.139635709
0.824,5.143107978
0.825,5.148256107
0.826,5.155128553
0.827,5.16376547
0.828,5.174196784
0.829,5.186440068
0.83,5.200498271
0.831,5.216357339
0.832,5.233983791
0.833,5.253322348
0.834,5.274293717
0.835,5.296792667
0.836,5.320686563
0.837,5.345814487
0.838,5.371987161
0.839,5.398987784
0.84,5.426573935
0.841,5.454480626
0.842,5.482424517
0.843,5.510109243
0.844,5.537231713
0.845,5.563489155
0.846,5.588586594
0.847,5.612244396
0.848,5.634205488
0.849,5.654241835
0.85,5.672159839
0.851,5.687804348
0.852,5.701061096
0.853,5.711857505
0.854,5.720161867
0.855,5.725981078
0.856,5.729357137
0.857,5.730362711
0.858,5.729096081
0.859,5.72567579
0.86,5.720235282
0.861,5.712917782
0.862,5.703871623
0.863,5.693246134
0.864,5.6811882
0.865,5.667839502
0.866,5.653334436
0.867,5.637798672
0.868,5.621348281
0.869,5.604089366
0.87,5.586118097
0.871,5.567521083
0.872,5.548375992
0.873,5.528752351
0.874,5.508712466
0.875,5.488312407
0.876,5.467603
0.877,5.446630823
0.878,5.425439144
0.879,5.404068808
0.88,5.382559041
0.881,5.360948184
0.882,5.339274331
0.883,5.317575891
0.884,5.295892069
0.885,5.27426327
0.886,5.252731434
0.887,5.231340318
0.888,5.210136618
0.889,5.189166606
0.89,5.168481536
0.891,5.148134302
0.892,5.128180397
0.893,5.108678
0.894,5.089688058
0.895,5.071274364
0.896,5.053503624
0.897,5.036445536
0.898,5.020172862
0.899,5.004761494
0.9,4.990290522
0.901,4.976842282
0.902,4.964502388
0.903,4.95335973
0.904,4.943506433
0.905,4.935037745
0.906,4.928051855
0.907,4.9226496
0.908,4.918934031
0.909,4.917009826
0.91,4.916982488
0.911,4.918957301
0.912,4.923037993
0.913,4.929325065
0.914,4.937913731
0.915,4.948891431
0.916,4.96233488
0.917,4.978306629
0.918,4.996851138
0.919,5.017990397
0.92,5.041719158
0.921,5.06799991
0.922,5.096757779
0.923,5.127875622
0.924,5.161189632
0.925,5.196485872
0.926,5.233498175
0.927,5.271907895
0.928,5.311345952
0.929,5.35139754
0.93,5.391609735
0.931,5.431501985
0.932,5.470579255
0.933,5.508347274
0.934,5.544329046
0.935,5.578081598
0.936,5.609211781
0.937,5.637389949
0.938,5.6623605
0.939,5.683948517
0.94,5.702062115
0.941,5.716690507
0.942,5.72789816
0.943,5.735815753
0.944,5.740628821
0.945,5.742565073
0.946,5.741881332
0.947,5.738850943
0.948,5.73375229
0.949,5.726858905
0.95,5.718431411
0.951,5.708711395
0.952,5.697917147
0.953,5.68624112
0.954,5.673848882
0.955,5.66087932
0.956,5.647445823
0.957,5.633638218
0.958,5.619525223
0.959,5.605157217
0.96,5.59056919
0.961,5.575783705
0.962,5.560813792
0.963,5.545665686
0.964,5.530341341
0.965,5.514840695
0.966,5.499163657
0.967,5.483311794
0.968,5.467289734
0.969,5.451106287
0.97,5.434775297
0.971,5.41831625
0.972,5.401754667
0.973,5.385122302
0.974,5.368457182
0.975,5.351803517
0.976,5.335211513
0.977,5.318737105
0.978,5.302441661
0.979,5.286391647
0.98,5.270659293
0.981,5.255318409
0.982,5.240449864
0.983,5.226137582
0.984,5.21246931
0.985,5.199536517
0.986,5.187434352
0.987,5.176261675
0.988,5.166121135
0.989,5.157119309
0.99,5.149366879
0.991,5.142978839
0.992,5.138074713
0.993,5.134778754
0.994,5.133220103
0.995,5.133532869
0.996,5.13585609
0.997,5.140333507
0.998,5.147113106
0.999,5.156346339
1,5.168186939
